Date,Trx Count
1/29/2023,125001
1/30/2023,133998
1/31/2023,143144
2/1/2023,152317
2/2/2023,147917
2/3/2023,113580
2/4/2023,107624
2/5/2023,116874
2/6/2023,129185
2/7/2023,118052
2/8/2023,119332
2/9/2023,130726
2/10/2023,104134
2/11/2023,103614
2/12/2023,123965
2/13/2023,124657
2/14/2023,126526
2/15/2023,118129
2/16/2023,135543
2/17/2023,107057
2/18/2023,101423
2/19/2023,117234
2/20/2023,122253
2/21/2023,133787
2/22/2023,124048
2/23/2023,117142
2/24/2023,113055
2/25/2023,106174
2/26/2023,144202
2/27/2023,187828
2/28/2023,196472
3/1/2023,172786
3/2/2023,155178
3/3/2023,119966
3/4/2023,114982
3/5/2023,122460
3/6/2023,126832
3/7/2023,129665
3/8/2023,125070
3/9/2023,126183
3/10/2023,105633
3/11/2023,104004
3/12/2023,111852
3/13/2023,114155
3/14/2023,118245
3/15/2023,111967
3/16/2023,116228
3/17/2023,101070
3/18/2023,94286
3/19/2023,118679
3/20/2023,111139
3/21/2023,110249
3/22/2023,118718
3/23/2023,97787
3/24/2023,74268
3/25/2023,76717
3/26/2023,103378
3/27/2023,140078
3/28/2023,126377
3/29/2023,120573
3/30/2023,132780
3/31/2023,133674
4/1/2023,125205
4/2/2023,149057
4/3/2023,144382
4/4/2023,118192
4/5/2023,117816
4/6/2023,128654
4/7/2023,99423
4/8/2023,114889
4/9/2023,115931
4/10/2023,120200
4/11/2023,146393
4/12/2023,134792
4/13/2023,153423
4/14/2023,144721
4/15/2023,135025
4/16/2023,149302
4/17/2023,202452
4/18/2023,159988
4/19/2023,152802
4/20/2023,137906
4/21/2023,90725
4/22/2023,95448
4/23/2023,101098
4/24/2023,105514
4/25/2023,119281
4/26/2023,137015
4/27/2023,169850
4/28/2023,129123
4/29/2023,130891
4/30/2023,156972
5/1/2023,165346
5/2/2023,153780
5/3/2023,148286
5/4/2023,149644
5/5/2023,131123
5/6/2023,124739
5/7/2023,130186
5/8/2023,134105
5/9/2023,129580
5/10/2023,146650
5/11/2023,145542
5/12/2023,128307
5/13/2023,114195
5/14/2023,126833
5/15/2023,118010
5/16/2023,126775
5/17/2023,138971
5/18/2023,142971
5/19/2023,116519
5/20/2023,106447
5/21/2023,125426
5/22/2023,124609
5/23/2023,119500
5/24/2023,128390
5/25/2023,198028
5/26/2023,121473
5/27/2023,131295
5/28/2023,190820
5/29/2023,162986
5/30/2023,164932
5/31/2023,160144
6/1/2023,171331
6/2/2023,141019
6/3/2023,130412
6/4/2023,147984
6/5/2023,155646
6/6/2023,141615
6/7/2023,146378
6/8/2023,148920
6/9/2023,119820
6/10/2023,118551
6/11/2023,147989
6/12/2023,149495
6/13/2023,134966
6/14/2023,132260
6/15/2023,139018
6/16/2023,133698
6/17/2023,119286
6/18/2023,133724
6/19/2023,139538
6/20/2023,134441
6/21/2023,146910
6/22/2023,154406
6/23/2023,131509
6/24/2023,129253
6/25/2023,177018
6/26/2023,167184
6/27/2023,241427
6/28/2023,97072
6/29/2023,105874
6/30/2023,109293
7/1/2023,120699
7/2/2023,134395
7/3/2023,138295
7/4/2023,145239
7/5/2023,142195
7/6/2023,142821
7/7/2023,120353
7/8/2023,122303
7/9/2023,143114
7/10/2023,154864
7/11/2023,140639
7/12/2023,142296
7/13/2023,143759
7/14/2023,125149
7/15/2023,121482
7/16/2023,134789
7/17/2023,149701
7/18/2023,132992
7/19/2023,131328
7/20/2023,134042
7/21/2023,123102
7/22/2023,115350
7/23/2023,128655
7/24/2023,140492
7/25/2023,143054
7/26/2023,153277
7/27/2023,185284
7/28/2023,152050
7/29/2023,136395
7/30/2023,164372
7/31/2023,164730
8/1/2023,172542
8/2/2023,160497
8/3/2023,153973
8/4/2023,130120
8/5/2023,126773
8/6/2023,141368
8/7/2023,147485
8/8/2023,139079
8/9/2023,135784
8/10/2023,146908
8/11/2023,124250
8/12/2023,121583
8/13/2023,133286
8/14/2023,135921
8/15/2023,130420
8/16/2023,144897
8/17/2023,136473
8/18/2023,114710
8/19/2023,111136
8/20/2023,125110
8/21/2023,120547
8/22/2023,118032
8/23/2023,120577
8/24/2023,144835
8/25/2023,123008
8/26/2023,118042
8/27/2023,182903
8/28/2023,159917
8/29/2023,161135
8/30/2023,165046
8/31/2023,191015
9/1/2023,160713
9/2/2023,143402
9/3/2023,186626
9/4/2023,161432
9/5/2023,156265
9/6/2023,152900
9/7/2023,163628
9/8/2023,144706
9/9/2023,129423
9/10/2023,163146
9/11/2023,173620
9/12/2023,144949
9/13/2023,142127
9/14/2023,155093
9/15/2023,143818
9/16/2023,131179
9/17/2023,132323
9/18/2023,131462
9/19/2023,131201
9/20/2023,142156
9/21/2023,152741
9/22/2023,132170
9/23/2023,133702
9/24/2023,128898
9/25/2023,155484
9/26/2023,152555
9/27/2023,196104
9/28/2023,212008
9/29/2023,183443
9/30/2023,157098
